Title,Decisions,links
SpiceJet to issue 6.4 crore warrants to promoters,"{""SpiceJet"": ""neutral""}",https://m.economictimes.com/markets/stocks/news/spicejet-to-issue-6-4-crore-warrants-to-promoters/articleshow/30235417.cms
MMTC Q2 net loss at Rs 10.4 crore,"{""MMTC"": ""neutral""}",https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=MMT&durationType=Y&Year=2013
"Mid-cap funds can deliver more, stay put: Experts","{""Mid-cap funds"": ""positive""}",https://www.financialexpress.com/money/mid-cap-funds-should-you-invest-in-them/2266864/
Mid caps now turn into market darlings,"{""Mid caps"": ""positive""}",https://m.economictimes.com/markets/stocks/news/tide-turns-as-midcaps-become-brokerages-darling-again/articleshow/68350992.cms
"Market seeing patience, if not conviction: Prakash Diwan","{""Market"": ""neutral""}",https://economictimes.indiatimes.com/topic/prakash-diwan-director
Infosys: Will the strong volume growth sustain?,"{""Infosys"": ""neutral""}",https://m.economictimes.com/markets/stocks/news/infosys-will-the-strong-volume-growth-sustain/articleshow/21033072.cms
Hudco raises Rs 279 cr via tax-free bonds,"{""Hudco"": ""positive""}",https://economictimes.indiatimes.com/markets/bonds/hudco-raises-rs-279-cr-via-tax-free-bonds/articleshow/32168286.cms
HOEC could retest 30-35 levels: Ashwani Gujral,"{""HOEC"": ""neutral""}",https://m.economictimes.com/markets/stocks/recos/hoec-could-retest-30-35-levels-ashwani-gujral/articleshow/8244166.cms
Gold shines on seasonal demand; Silver dull,"{""Gold"": ""positive"", ""Silver"": ""negative""}",https://www.thehindu.com/business/markets/gold-shines-on-seasonal-demand-silver-dull/article6688965.ece
Genpact appoints Edward J Fitzpatrick as CFO,"{""Genpact"": ""neutral""}",https://m.economictimes.com/genpact-appoints-edward-j-fitzpatrick-as-cfo/articleshow/37333113.cms
"EXL beats profit estimates, cuts sales outlook","{""EXL"": ""positive""}",https://m.economictimes.com/markets/stocks/earnings/exl-beats-profit-estimates-cuts-sales-outlook/articleshow/15309179.cms
Wait and watch on Bharti Airtel: Vinay Khattar,"{""Bharti Airtel"": ""neutral""}",https://m.economictimes.com/markets/stocks/recos/wait-and-watch-on-bharti-airtel-vinay-khattar/articleshow/32833013.cms
"Would stick to banking: Girish Pai, Centrum Broking","{""banking"": ""positive"", ""Centrum Broking"": ""neutral""}",https://m.economictimes.com/markets/stocks/recos/would-stick-to-banking-girish-pai-centrum-broking/articleshow/6791379.cms
